Ticker,Company,Exchange,Market Cap
A,Agilent Technologies,NYSE,43564658688.0
AA,Alcoa Inc.,NYSE,8889996288.0
AAT,American Assets Trust,NYSE,1910890240.0
AB,Alliance Capital Management L.P.,NYSE,4563489792.0
ABBV,Abbvie Inc. Common Stock,NYSE,312660066304.0
ABM,Abm Industries Incorporated,NYSE,3310775808.0
ABR,Arbor Realty Trust,NYSE,2520759040.0
ABT,Abbot Laboratories,NYSE,224439123968.0
ACI,Arch Coal,NYSE,11526746112.0
ACM,Aecom Technology Corp.,NYSE,14168498176.0
ACN,Accenture Plc.,NYSE,238686306304.0
ACP,Avenue Income Credit Strategies,NYSE,750943936.0
ACRE,Ares Commercial Real Estate Cor,NYSE,315526624.0
ACT,Actavis Inc.,NYSE,5241224192.0
ADC,Agree Realty Corp.,NYSE,8105481728.0
ADM,Archer-Daniels-Midland Company,NYSE,24730638336.0
ADT,Adt Corporation Common Stock W,NYSE,6776153600.0
ADX,Adams Express Company,NYSE,2294334720.0
AEE,Ameren Corp.,NYSE,24880359424.0
AEF,Aegon Nv,NYSE,271014624.0
AEG,Aegon Nv,NYSE,10723883008.0
AEM,Agnico-Eagle Mines Limited,NYSE,44775436288.0
AEO,American Eagle Outfitters,NYSE,3245563392.0
AEP,American Electric Power Company,NYSE,53799714816.0
AER,Aercap Holdings N.V.,NYSE,18185717760.0
AES,The Aes Corp.,NYSE,7735973888.0
AFB,Alliance National Municipal,NYSE,317113728.0
AFG,American Financial Group  ,NYSE,11648824320.0
AFL,Aflac Incorporated,NYSE,60135907328.0
AG,First Majestic Silver,NYSE,2462121728.0
AGCO,Agco Corp.,NYSE,7871346176.0
AGD,Alpine Global Dynamic Dividend Fund,NYSE,251386160.0
AGI,Alamos Gold Inc.,NYSE,8535926784.0
AGM,Federal Agricultural Mortgage Corp.,NYSE,2091556736.0
AGM-A,Federal Agricultural Mortgage  ,NYSE,2121201664.0
AGO,Assured Guaranty Ltd,NYSE,4833540096.0
AGRO,Adecoagro S.A.,NYSE,946355264.0
AHH,Armada Hoffler Properties Inc.,NYSE,1005491200.0
AHT-PD,Ashford Hospitality Trust Inc 8,NYSE,236328000.0
AI,Arlington Asset Investment Corp,NYSE,4201065728.0
AIG,American International Group,NYSE,47468822528.0
AIN,Albany International Corp.,NYSE,2528727040.0
AIR,Aar ,NYSE,2511148800.0
AIT,Applied Industrial Technologies,NYSE,9763104768.0
AIV,Apartment Investment And Management,NYSE,1270714624.0
AIZ,Assurant,NYSE,11110389760.0
AJG,Arthur J. Gallagher & Co.,NYSE,73735602176.0
AKR,Acadia Realty Trust,NYSE,3087855360.0
AL,Air Lease Corporation Class A C,NYSE,5159227904.0
ALB,Albemarle Corp.,NYSE,10163189760.0
ALE,Allete,NYSE,3784253440.0
ALEX,Alexander And Baldwin Inc,NYSE,1313653120.0
ALG,Alamo Group,NYSE,2293348608.0
ALK,Alaska Air Group,NYSE,8777153536.0
ALL,Allstate Corporation,NYSE,50863362048.0
ALSN,Allison Transmission Holdings,NYSE,10040449024.0
ALV,Autoliv,NYSE,7846630912.0
ALX,Alexander's,NYSE,975530752.0
AM,American Greetings Corp.,NYSE,7513419776.0
AMD,Advanced Micro Devices,NYSE,185260146688.0
AME,Amtek,NYSE,42336301056.0
AMG,Affiliated Managers Group  ,NYSE,5711153152.0
AMH,American Homes 4 Rent,NYSE,14773027840.0
AMP,Ameriprise Financial Services,NYSE,55349743616.0
AMRC,Ameresco Inc,NYSE,1140106496.0
AMT,American Tower Corp.,NYSE,87686774784.0
AMTD,TD Ameritrade Holding Corp.,NYSE,1051232384.0
AMX,American Movil S.A.B. De C.V.,NYSE,43308240896.0
AN,Autonation,NYSE,7408288768.0
ANF,Abercrombie & Fitch Company,NYSE,6055805952.0
AOD,Alpine Total Dynamic Dividend,NYSE,912505280.0
AON,Aon Plc,NYSE,80838066176.0
AOS,Smith [A.O.] Corp.,NYSE,10196048896.0
AP,Ampco-Pittsburgh Corp.,NYSE,50436692.0
APA,Apache Corp.,NYSE,8586469888.0
APAM,Artisan Partners Asset Manageme,NYSE,3148905472.0
APD,Air Products And Chemicals,NYSE,72819113984.0
APH,Amphenol Corp.,NYSE,82126151680.0
APO,Apollo Global Management LLc C,NYSE,95628558336.0
ARDC,Ares Dynamic Credit Allocation,NYSE,346703968.0
ARE,Alexandria Real Estate Equities,NYSE,17203570688.0
ARI,Apollo Commercial Real Estate,NYSE,1258774272.0
ARL,American Realty Investors,NYSE,241149360.0
ARR,Armour Residential R,NYSE,1039650816.0
ARW,Arrow Electronics,NYSE,6115737600.0
ASA,Asa Gold And Precious Metals,NYSE,431165984.0
ASC,Ardmore Shipping Corporation,NYSE,473048384.0
ASG,Liberty All-Star Growth Fund,NYSE,346195488.0
ASGN,On Assignment,NYSE,4210050048.0
ASH,Ashland Inc.,NYSE,3381183488.0
ASR,Grupo Aeroporuario Del Sureste,NYSE,8028369920.0
ASX,Advanced Semiconductor Engineering,NYSE,21177389056.0
ATI,Allagheny Technologies Inc.,NYSE,8162033152.0
ATO,Atmos Energy Llc,NYSE,22042724352.0
ATR,Aptargroup,NYSE,10625967104.0
AU,Anglogold Ashanti Ltd,NYSE,13929743360.0
AVA,Avista Corp.,NYSE,2890172160.0
AVB,Avalonbay Communities,NYSE,31376058368.0
AVD,American Vanguard Corp.,NYSE,167545008.0
AVK,Advent Claymore Convertible Securities,NYSE,536406688.0
AVT,Avnet,NYSE,4557447168.0
AVY,Avery Dennison Corp.,NYSE,15625767936.0
AWF,Alliance World Dollar Fund II,NYSE,935161088.0
AWI,Armstrong World Industries Inc,NYSE,6528422400.0
AWK,American Water Works,NYSE,24715483136.0
AWP,Alpine Global Premier Propertie,NYSE,341232768.0
AWR,American States Water Company,NYSE,2854610944.0
AXL,American Axle & Manufacturing,NYSE,682557696.0
AXP,American Express Company,NYSE,221761798144.0
AXR,Amrep Corp.,NYSE,155451024.0
AXS,Axis Capital Holdings,NYSE,7597165568.0
AYI,Acuity Brands Inc,NYSE,10139325440.0
AZN,Astrazeneca Plc,NYSE,216704172032.0
AZO,Autozone,NYSE,56327274496.0
AZZ,Azz Inc.,NYSE,2551641088.0
BCC,Boise Cascade L.L.C. Common ST,NYSE,4915788800.0
BCE,Bce,NYSE,21999704064.0
BCH,Banco De Chile,NYSE,12226844672.0
BCO,Brink's Company,NYSE,4156094464.0
BCS,Barclays Plc,NYSE,52177166336.0
BCX,Blackrock Resources Common Shar,NYSE,730562816.0
BDC,Belden Inc,NYSE,4614103552.0
BDJ,Blackrock Enhanced Dividend Achievers,NYSE,1589782400.0
BDN,Brandywine Realty Trust,NYSE,935182848.0
BDX,Becton Dickinson And Company,NYSE,72594800640.0
BEAM,Beam Inc,NYSE,2085044992.0
BEN,Franklin Resources,NYSE,10801909760.0
BEP,Brookfield Renewable,NYSE,13525736448.0
BERY,Berry Plastics Group Inc.,NYSE,8016347136.0
BFAM,Bright Horizons Family Solutions Inc.,NYSE,7050058240.0
BFK,Blackrock Florida Muni 2020 Trust,NYSE,441179296.0
BFS,Saul Centers,NYSE,1284737664.0
BFZ,Blackrock California Muni Trust,NYSE,337614208.0
BG,Bunge Limited,NYSE,10920227840.0
BGB,Blackstone / Gso Strategic Cre,NYSE,552096640.0
BGC,General Cable Corp.,NYSE,4604405248.0
BGH,Babson Capital Global Short Du,NYSE,319624320.0
BGR,Blackrock Energy And Resources Trust,NYSE,344318976.0
BGS,B&G Foods Holdings,NYSE,533564704.0
BGT,Blackrock Global,NYSE,286415936.0
BGX,Blacstone Gso Long Short Credit Fund,NYSE,161494528.0
BGY,Blackrock International,NYSE,527229376.0
BH,Biglari Holdings Inc.,NYSE,687010944.0
BHE,Benchmark Electronics,NYSE,1551466368.0
BHK,Blackrock Core Trust,NYSE,565680192.0
BHLB,Berkshire Hills Bancorp,NYSE,1230394240.0
BHP,Bhp Billiton Limited,NYSE,123271184384.0
BIO,Bio-Rad Laboratories,NYSE,10368244736.0
BIOA,Bioamber Inc.,NYSE,188564176.0
BIP,Brookfield Infrastructure Partners Lp,NYSE,15155323904.0
BIT,Blackrock Multi-Sector Income T,NYSE,568727616.0
BK,Bank Of New York Mellon Corp.,NYSE,61978845184.0
BKD,Brookdale Senior Living Inc.,NYSE,1002041408.0
BKE,Buckle,NYSE,2432572672.0
BKH,Black Hills Corp.,NYSE,4233197056.0
BKN,Blackrock Investment Quality Municipal,NYSE,196834352.0
BKT,Blackrock Income Trust Inc.,NYSE,246958384.0
BKU,Bankunited,NYSE,3065431808.0
BLK,Blackrock,NYSE,161256931328.0
BLW,Blackrock Limited Duration Income Trust,NYSE,508510464.0
BLX,Banco Latinoamericano De Comercio,NYSE,1379746560.0
BMA,Banco Macro S.A.,NYSE,7054631424.0
BME,Blackrock Health Sciences Trust,NYSE,538836096.0
BMI,Badger Meter,NYSE,6093308416.0
BMO,Bank Of Montreal,NYSE,72966103040.0
BMR,Biomed Realty Trust,NYSE,56773276.0
BMY,Bristol-Myers Squibb Company,NYSE,120190353408.0
BNS,Bank Of Nova Scotia,NYSE,70917545984.0
BNY,Blackrock New York Muni Trust Inc.,NYSE,248406128.0
BOE,Blackrock Global,NYSE,669395136.0
BOH,Bank Of Hawaii Corp.,NYSE,2971774208.0
BP,Bp P.L.C.,NYSE,81921228800.0
BR,Broadridge Financial Solutions Llc,NYSE,28195790848.0
BRC,Brady Corp.,NYSE,3627069184.0
