Ticker,Name,Recommendation Score
MATAS.CO,Matas A/S,1.03
TRIFOR.CO,Trifork Group AG,0.82
RNMBY,Rheinmetall AG,0.32
SAABF,Saab AB,0.41
BCKIY,Babcock International Group Plc,1.16
BAESY,BAE Systems PLC,0.86
IVSO.ST,INVISIO AB,1.22
NSKFF,Kongsberg Gruppen ASA,0.74
GMAB,Genmab A/S,1.75
GN.CO,GN Store Nord A/S,0.97
NVDA,NVIDIA Corporation,2.26
LLY,Eli Lilly and Company,0.53
DANSKE.CO,Danske Bank A/S,0.79
CARL-B.CO,Carlsberg B A/S,1.25
MAERSK-B.CO,A.P. Møller - Mærsk B A/S,1.53
RBREW.CO,Royal UNIBREW A/S,1.31
ISS.CO,ISS A/S,1.26
DSV.CO,DSV A/S,0.88
SCHO.CO,Schouw & Co. A/S,1.08
NETC.CO,Netcompany Group A/S,1.14
JYSK.CO,Jyske Bank A/S,0.84
ABBN.SW,ABB LTD N,1.25
TER,"Teradyne, Inc.",1.85
PARKEN.CO,PARKEN Sport & Entertainment A/,1.36
NFLX,"Netflix, Inc.",1.18
STG.CO,Scandinavian Tobacco Group A/S,1.49
NOVO-B.CO,Novo Nordisk B A/S,2.15
EQNR,Equinor ASA,2.00
NKT.CO,NKT A/S,1.40
TSLA,"Tesla, Inc.",-0.67
HEM.ST,Hemnet Group AB,1.49
DEMANT.CO,Demant A/S,1.39
BAVA.CO ,Bavarian Nordic A/S,1.40
BABA,Alibaba Group Holding Limited,1.22
JD,"JD.com, Inc.",1.31
PDD,PDD Holdings Inc.,1.89
BIDU,"Baidu, Inc.",1.15
NTES,"NetEase, Inc.",1.53
WB,Weibo Corporation,1.38
IQ,"iQIYI, Inc.",0.19
SYDB.CO,Sydbank A/S,0.90
UBER,"Uber Technologies, Inc.",1.43
COLO-B.CO,Coloplast B A/S,1.26
A,"Agilent Technologies, Inc.",1.31
AA,Alcoa Corporation,1.31
AAT,"American Assets Trust, Inc.",0.94
ABBV,AbbVie Inc.,0.88
ABM,ABM Industries Incorporated,0.46
ABR,Arbor Realty Trust,0.91
ACI,"Albertsons Companies, Inc.",1.27
ACM,AECOM,1.03
ACN,Accenture plc,1.44
