Ticker,Name,Signal,Recommendation Score,Value Score,Quality Score,Momentum Score,P/E Score,ROA Score,PB Score,Leadership Score,Insider Buy Score,P/E,ROA%,Earnings pr. Share,Price to Book,Insider Buy%,50d Average Change%,Sector,Industry,Country,Owned
BAVA.CO ,Bavarian Nordic A/S,Buy,2.48,2.08,0.36,0.04,1.04,0.92,0.12,0.36,0.0,6.48,7.78,30.7,1.18,0.0,0.02,Healthcare,Biotechnology,Denmark,False
GUBRA.CO,Gubra A/S,Buy,2.01,1.88,-0.0,0.13,1.08,1.0,-0.2,-0.0,0.0,4.91,78.15,106.08,7.01,0.0,0.09,Healthcare,Biotechnology,Denmark,True
ZEAL.CO,Zealand Pharma A/S,Buy,1.93,2.07,0.02,-0.16,1.09,1.0,-0.02,0.02,0.0,4.65,33.45,91.31,1.97,0.0,-0.13,Healthcare,Biotechnology,Denmark,True
ROCK-B.CO,Rockwool A/S ser. B,Buy,1.9,1.64,0.2,0.05,0.68,0.99,-0.02,0.2,0.0,12.7,9.94,17.71,1.99,0.0,0.03,Industrials,Building Products & Equipment,Denmark,True
NOVO-B.CO,Novo Nordisk B A/S,Buy,1.87,1.15,0.54,0.18,0.35,1.0,-0.2,0.54,0.0,15.87,21.11,23.34,9.69,0.0,0.17,Healthcare,Drug Manufacturers - General,Denmark,True
PNDORA.CO,Pandora A/S,Buy,1.82,1.67,0.28,-0.13,0.87,1.0,-0.2,0.28,0.0,10.19,18.43,66.4,17.97,0.0,-0.09,Consumer Cyclical,Luxury Goods,Denmark,True
HLUN-B.CO,H. Lundbeck A/S B,Buy,1.78,1.75,0.03,0.01,0.77,0.95,0.03,0.03,0.0,11.55,8.28,3.84,1.75,0.0,0.0,Healthcare,Drug Manufacturers - Specialty & Generic,Denmark,False
STG.CO,Scandinavian Tobacco Group A/S,Buy,1.74,1.45,0.22,0.07,0.85,0.45,0.15,0.22,0.0,10.39,5.37,9.2,0.9,0.0,0.05,Consumer Defensive,Tobacco,Denmark,True
GMAB.CO,Genmab A/S,Buy,1.55,1.29,0.15,0.11,0.48,1.0,-0.19,0.15,0.0,14.73,13.38,145.99,3.6,0.0,0.08,Healthcare,Biotechnology,Denmark,True
SPG.CO,SP Group A/S,Buy,1.27,0.94,0.16,0.17,0.17,0.86,-0.1,0.16,0.0,17.33,7.13,20.11,2.4,0.0,0.17,Basic Materials,Specialty Chemicals,Denmark,True
MAERSK-B.CO,A.P. Møller - Mærsk B A/S,Buy,1.22,0.81,0.27,0.14,1.0,-0.36,0.17,0.27,0.0,7.55,3.52,2000.64,0.63,0.0,0.11,Industrials,Marine Shipping,Denmark,False
DEMANT.CO,Demant A/S,Buy,1.03,0.87,0.13,0.03,0.13,0.94,-0.2,0.13,0.0,17.68,8.02,12.48,4.97,0.0,0.02,Healthcare,Medical Devices,Denmark,False
RBREW.CO,Royal UNIBREW A/S,Buy,0.92,0.55,0.29,0.08,-0.14,0.89,-0.2,0.29,0.0,19.77,7.35,29.01,4.34,0.0,0.05,Consumer Defensive,Beverages - Brewers,Denmark,False
PARKEN.CO,PARKEN Sport & Entertainment A/,Buy,0.69,0.08,0.46,0.15,0.58,-0.62,0.11,0.46,0.0,13.74,2.75,11.43,1.23,0.0,0.13,Communication Services,Entertainment,Denmark,False
ISS.CO,ISS A/S,Buy,0.68,0.54,0.02,0.12,0.45,0.28,-0.19,0.02,0.0,15.03,4.95,15.3,4.01,0.0,0.09,Industrials,Specialty Business Services,Denmark,True
HVID.CO,Hvidbjerg Bank A/S,Buy,0.63,0.37,0.09,0.17,1.13,-0.88,0.11,0.09,0.0,2.19,1.35,96.76,1.22,0.0,0.17,Financial Services,Banks - Regional,Denmark,True
LOLB.CO,Lollands Bank A/S,Buy,0.61,0.4,0.1,0.12,1.13,-0.88,0.14,0.1,0.0,2.05,1.38,438.1,1.01,0.0,0.09,Financial Services,Banks - Regional,Denmark,True
DNORD.CO,D/S Norden,Buy,0.58,0.36,0.08,0.14,0.93,-0.71,0.14,0.08,0.0,9.12,2.4,30.69,0.98,0.0,0.11,Industrials,Marine Shipping,Denmark,False
CARL-B.CO,Carlsberg B A/S,Buy,0.51,0.5,-0.08,0.08,0.24,0.46,-0.2,-0.08,0.0,16.78,5.4,50.41,4.47,0.0,0.05,Consumer Defensive,Beverages - Brewers,Denmark,False
LASP.CO,Lån og Spar Bank A/S,Hold,0.45,-0.2,0.46,0.2,0.64,-0.91,0.06,0.46,0.0,13.14,1.08,119.5,1.54,0.0,0.29,Financial Services,Banks - Regional,Denmark,True
GRLA.CO,Grønlandsbanken A/S,Hold,0.43,0.03,0.2,0.2,0.75,-0.81,0.09,0.2,0.0,11.78,1.88,101.86,1.38,0.0,0.37,Financial Services,Banks - Regional,Greenland,True
SCHO.CO,Schouw & Co. A/S,Hold,0.38,0.1,0.15,0.13,0.24,-0.22,0.09,0.15,0.0,16.81,3.83,40.15,1.4,0.0,0.1,Industrials,Conglomerates,Denmark,False
JYSK.CO,Jyske Bank A/S,Hold,0.31,0.03,0.17,0.12,0.83,-0.93,0.13,0.17,0.0,10.73,0.7,82.09,1.12,0.0,0.09,Financial Services,Banks - Regional,Denmark,False
MATAS.CO,Matas A/S,Hold,0.27,0.16,0.08,0.03,0.25,-0.19,0.11,0.08,0.0,16.76,3.91,7.47,1.29,0.0,0.02,Consumer Cyclical,Specialty Retail,Denmark,False
FLS.CO,FLSmidth & Co. A/S,Hold,0.23,0.02,0.09,0.12,-0.15,0.29,-0.12,0.09,0.0,19.88,4.98,23.88,2.6,0.0,0.09,Industrials,Specialty Industrial Machinery,Denmark,False
SKJE.CO,Skjern Bank A/S,Hold,0.22,-0.03,0.07,0.18,0.73,-0.83,0.06,0.07,0.0,12.05,1.78,25.23,1.55,0.0,0.19,Financial Services,Banks - Regional,Denmark,False
PAAL-B.CO,Per Aarsleff Holding A/S B,Hold,0.19,-0.12,0.14,0.18,-0.11,0.16,-0.17,0.14,0.0,19.59,4.68,46.31,3.09,0.0,0.17,Industrials,Engineering & Construction,Denmark,False
NKT.CO,NKT A/S,Hold,0.16,-0.0,0.1,0.06,-0.75,0.91,-0.17,0.1,0.0,25.52,7.63,31.35,3.07,0.0,0.04,Industrials,Electrical Equipment & Parts,Denmark,False
DJUR.CO,Djurslands Bank A/S,Hold,0.16,0.03,-0.04,0.17,0.8,-0.86,0.08,-0.04,0.0,11.14,1.55,90.25,1.43,0.0,0.16,Financial Services,Banks - Regional,Denmark,False
CEMAT.CO,Cemat A/S,Hold,0.1,0.19,-0.07,-0.02,0.96,-0.89,0.12,-0.07,0.0,8.4,1.29,0.11,1.21,0.0,-0.01,Real Estate,Real Estate Services,Denmark,False
DANSKE.CO,Danske Bank A/S,Hold,0.04,-0.09,0.06,0.07,0.77,-0.94,0.08,0.06,0.0,11.52,0.61,27.29,1.47,0.0,0.04,Financial Services,Banks - Regional,Denmark,False
NTG.CO,NTG Nordic Transport Group A/S,Sell,-0.0,-0.4,0.29,0.11,-0.2,-0.03,-0.17,0.29,0.0,20.27,4.25,9.81,3.05,0.0,0.07,Industrials,Integrated Freight & Logistics,Denmark,False
GABR.CO,Gabriel Holding A/S,Hold,0.0,-0.25,0.27,-0.02,0.01,-0.28,0.03,0.27,0.0,18.63,3.7,13.1,1.75,0.0,-0.02,Consumer Cyclical,Textile Manufacturing,Denmark,False
FLUG-B.CO,Flügger group A/S B,Sell,-0.07,-0.2,0.03,0.1,0.14,-0.47,0.13,0.03,0.0,17.61,3.23,19.31,1.13,0.0,0.06,Basic Materials,Specialty Chemicals,Denmark,False
COLO-B.CO,Coloplast B A/S,Sell,-0.1,-0.34,0.26,-0.02,-1.13,0.99,-0.2,0.26,0.0,34.89,10.01,16.16,7.88,0.0,-0.02,Healthcare,Medical Instruments & Supplies,Denmark,False
GJ.CO,Glunz & Jensen Holding A/S,Sell,-0.1,-0.2,-0.02,0.12,-0.26,-0.03,0.1,-0.02,0.0,20.77,4.26,3.9,1.36,0.0,0.08,Industrials,Specialty Industrial Machinery,Denmark,False
RILBA.CO,Ringkjøbing Landbobank A/S,Sell,-0.11,-0.56,0.36,0.09,0.2,-0.58,-0.18,0.36,0.0,17.16,2.89,90.69,3.36,0.0,0.06,Financial Services,Banks - Regional,Denmark,False
ALSYDB.CO,AL Sydbank A/S,Sell,-0.13,-0.21,0.1,-0.02,0.68,-0.9,-0.0,0.1,0.0,12.65,1.18,44.07,1.88,0.0,-0.01,Financial Services,Banks - Regional,Denmark,False
