Ticker,Name,Earnings,1d Change,Signal,Final Score,Value Score,Momentum Score,50d Momentum Score,200d Momentum Score,Leadership Score,P/E Score,ROA Score,P/B Score,D/E Score,Insider Buy Score,P/E,ROA%,EPS,P/B,D/E,Insider Buy%,50d Average Change%,200d Average Change%,Sector,Industry,Country,Owned
TRMD-A.CO,TORM plc A,13-05-2026,3.99,Buy,3.44,1.7,1.74,0.13,1.61,0.15,0.67,0.76,0.06,0.06,0.0,11.18,6.17,18.19,1.45,0.46,0.0,0.12,0.37,Energy,Oil & Gas Midstream,United Kingdom,True
UIE.CO,UIE Plc,19-05-2026,0.26,Buy,3.02,1.82,1.2,0.04,1.16,0.14,0.51,1.1,-0.08,0.14,0.0,13.39,13.11,28.61,2.45,0.0,0.0,0.03,0.12,Consumer Defensive,Farm Products,Malta,False
AU,AngloGold Ashanti PLC,08-05-2026,-1.08,Buy,2.09,1.15,0.94,-0.05,0.99,0.1,-0.03,1.1,-0.15,0.13,0.0,18.96,18.76,5.18,6.13,0.23,0.0,-0.06,0.2,Basic Materials,Gold,United States,False
HLUN-A.CO,H. Lundbeck A/S A,13-05-2026,-1.14,Buy,1.75,1.71,0.03,0.01,0.02,0.02,0.69,0.88,0.07,0.06,0.0,10.78,6.7,3.22,1.38,0.47,0.0,0.01,0.0,Healthcare,Drug Manufacturers - Specialty & Generic,Denmark,True
SPG.CO,SP Group A/S,29-04-2026,0.98,Buy,1.74,1.04,0.7,-0.03,0.72,0.04,0.26,0.92,-0.07,-0.11,0.0,16.21,6.92,22.15,2.35,0.86,0.0,-0.03,0.13,Basic Materials,Specialty Chemicals,Denmark,True
NKT.CO,NKT A/S,13-05-2026,0.16,Buy,1.12,0.54,0.58,0.04,0.54,0.21,-0.59,0.92,-0.13,0.14,0.0,24.98,6.91,36.59,3.21,0.11,0.0,0.08,0.23,Industrials,Electrical Equipment & Parts,Denmark,False
BRK-B,Berkshire Hathaway Inc. New,02-05-2026,0.74,Buy,1.05,1.39,-0.33,-0.03,-0.31,0.37,0.36,0.38,0.14,0.13,0.0,15.22,5.11,31.06,0.0,0.19,0.0,-0.02,-0.03,Financial Services,Insurance - Diversified,United States,True
TCM.CO,TCM Group A/S,21-05-2026,-0.61,Buy,0.86,1.25,-0.4,-0.0,-0.39,0.29,0.79,0.11,0.1,-0.03,0.0,8.72,4.53,7.48,1.07,0.65,0.0,-0.0,-0.05,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Denmark,True
VALT.L,VALTERRA PLATINUM LIMITED ORD Z,25-02-2026,-4.63,Buy,0.84,0.61,0.24,-0.06,0.29,-0.04,-0.42,1.07,-0.14,0.14,0.0,22.91,8.82,2.6,3.55,0.05,0.0,-0.13,0.07,Basic Materials,Other Precious Metals & Mining,South Africa,False
CEMAT.CO,Cemat A/S,,-1.18,Buy,0.83,1.96,-1.13,-0.06,-1.06,-0.16,0.93,0.94,0.11,0.14,0.0,3.36,7.07,0.25,0.87,0.1,0.0,-0.04,-0.1,Real Estate,Real Estate Services,Denmark,True
TER,"Teradyne, Inc.",28-04-2026,-3.85,Buy,0.8,0.34,0.46,0.05,0.41,0.07,-1.0,1.09,-0.15,0.14,0.18,116.18,10.83,3.46,22.44,0.1,36.8,0.23,0.97,Technology,Semiconductor Equipment & Materials,United States,False
NTG.CO,NTG Nordic Transport Group A/S,05-05-2026,-1.08,Buy,0.77,0.82,-0.06,0.04,-0.09,0.2,0.03,0.83,-0.09,-0.15,0.0,18.43,6.47,9.92,2.62,1.71,0.0,0.05,-0.02,Industrials,Integrated Freight & Logistics,Denmark,False
ISS.CO,ISS A/S,05-05-2026,-0.09,Buy,0.74,0.49,0.25,-0.0,0.25,0.03,0.38,0.37,-0.14,-0.15,0.0,15.0,5.09,15.41,3.82,1.43,0.0,-0.0,0.08,Industrials,Specialty Business Services,Denmark,True
AOJ-B.CO,Brdr. A & O Johansen A/S B,30-04-2026,-0.57,Buy,0.57,1.06,-0.49,-0.02,-0.47,0.26,0.62,0.16,0.06,-0.04,0.0,11.89,4.64,7.3,1.42,0.67,0.0,-0.02,-0.07,Industrials,Industrial Distribution,Denmark,False
NVDA,NVIDIA Corporation,20-05-2026,4.01,Buy,0.57,0.26,0.32,0.04,0.28,0.13,-0.99,1.1,-0.15,0.14,0.03,44.21,51.19,4.9,33.47,0.07,6.1,0.17,0.18,Technology,Semiconductors,United States,False
BAVA.CO ,Bavarian Nordic A/S,13-05-2026,-0.43,Hold,0.49,1.32,-0.83,-0.03,-0.79,0.33,0.7,0.04,0.1,0.14,0.0,10.52,4.41,17.61,1.13,0.01,0.0,-0.03,-0.11,Healthcare,Biotechnology,Denmark,False
GMAB.CO,Genmab A/S,07-05-2026,-1.79,Hold,0.47,1.12,-0.65,-0.04,-0.6,0.14,0.17,1.04,-0.11,-0.13,0.0,17.08,8.1,98.15,2.77,0.93,0.0,-0.05,-0.09,Healthcare,Biotechnology,Denmark,True
KRE.CO,Kreditbanken A/S,,0.0,Hold,0.42,0.33,0.1,-0.01,0.11,0.29,0.79,-0.84,0.1,0.0,0.0,8.74,2.15,920.92,1.12,,0.0,-0.03,0.04,Financial Services,Banks - Regional,Denmark,True
