Ticker,Name,Signal,Recommendation Score,Owned,Forward P/E,P/E,FvC Ratio,ROA%,Insider Buy%,Sector,Industry
NOVO-B.CO,Novo Nordisk B A/S,Buy,1.75,True,10.18,12.32,1.21,23.29,0.0,Healthcare,Drug Manufacturers - General
NVDA,NVIDIA Corporation,Buy,1.68,False,43.21,57.43,1.33,53.24,-0.4,Technology,Semiconductors
EQNR,Equinor ASA,Buy,1.38,False,8.83,8.39,0.95,13.32,0.0,Energy,Oil & Gas Integrated
AAPL,Apple Inc.,Buy,1.35,False,25.81,32.55,1.26,24.55,0.1,Technology,Consumer Electronics
GOOGL,Alphabet Inc.,Buy,1.24,False,21.9,20.92,0.96,16.79,0.0,Communication Services,Internet Content & Information
TRMD,TORM plc,Buy,1.19,True,4.58,4.19,0.92,8.48,0.0,Energy,Oil & Gas Midstream
META,"Meta Platforms, Inc.",Buy,1.16,False,30.54,28.04,0.92,18.46,0.0,Communication Services,Internet Content & Information
GMAB,Genmab A/S,Buy,1.14,False,15.32,12.62,0.82,11.54,0.0,Healthcare,Biotechnology
SPG.CO,SP Group A/S,Buy,0.93,False,10.6,11.73,1.11,7.97,0.0,Basic Materials,Specialty Chemicals
STG.CO,Scandinavian Tobacco Group A/S,Buy,0.87,False,6.21,8.11,1.31,5.91,0.0,Consumer Defensive,Tobacco
MAERSK-B.CO,A.P. Møller - Mærsk B A/S,Buy,0.86,False,5.72,4.53,0.79,5.21,0.0,Industrials,Marine Shipping
DEMANT.CO,Demant A/S,Buy,0.81,False,16.96,18.75,1.11,8.66,0.0,Healthcare,Medical Devices
NKT.CO,NKT A/S,Buy,0.78,False,18.23,16.29,0.89,7.93,0.0,Industrials,Electrical Equipment & Parts
MSFT,Microsoft Corporation,Buy,0.77,False,35.19,38.62,1.1,14.2,-2.6,Technology,Software - Infrastructure
BAVA.CO ,Bavarian Nordic A/S,Buy,0.75,False,13.16,14.06,1.07,6.65,0.0,Healthcare,Biotechnology
RBREW.CO,Royal UNIBREW A/S,Hold,0.69,False,16.19,16.31,1.01,6.69,0.0,Consumer Defensive,Beverages - Brewers
